Packet injection rate,Total received packets,Total received flits,Received/Ideal flits ratio,Average wireless utilization,Global average delay (cycles),Max delay (cycles),Network throughput (flits/cycle),Average IP throughput (flits/cycle/IP),Total energy (J),Dynamic energy (J),Static energy (J)
0.074,67026,536197,0.14897,0,39118.4,98882,5.64418,0.0881903,8.99037e-05,1.08937e-05,7.901e-05
0.075,67158,537279,0.14728,0,39057.1,99178,5.65557,0.0883683,8.9892e-05,1.08819e-05,7.901e-05
0.076,67170,537375,0.145368,0,39769.6,99153,5.65658,0.088384,8.99253e-05,1.09153e-05,7.901e-05
0.077,66625,533003,0.142313,0,39329.2,99267,5.61056,0.087665,8.97811e-05,1.07711e-05,7.901e-05
0.078,66976,535807,0.141228,0,39870.4,99489,5.64007,0.0881262,8.98926e-05,1.08825e-05,7.901e-05
0.079,66215,529732,0.137859,0,39808.3,99075,5.57613,0.087127,8.97601e-05,1.07501e-05,7.901e-05
0.08,66648,533198,0.137027,0,40170.9,98199,5.61261,0.087697,8.98531e-05,1.08431e-05,7.901e-05
0.081,66717,533720,0.135467,0,40486.1,98923,5.61811,0.0877829,8.98072e-05,1.07971e-05,7.901e-05
0.082,67144,537180,0.134683,0,40466,98496,5.65453,0.088352,8.98816e-05,1.08716e-05,7.901e-05
0.083,66782,534256,0.132336,0,40402.8,98957,5.62375,0.0878711,8.98486e-05,1.08386e-05,7.901e-05
0.084,66847,534744,0.13088,0,40374.1,99216,5.62888,0.0879513,8.98676e-05,1.08575e-05,7.901e-05
0.085,66123,528945,0.127938,0,40992.3,98802,5.56784,0.0869975,8.97279e-05,1.07178e-05,7.901e-05
0.086,66548,532397,0.127275,0,40885.2,97871,5.60418,0.0875653,8.98157e-05,1.08057e-05,7.901e-05
0.087,66938,535518,0.12655,0,41013.8,98909,5.63703,0.0880786,8.98709e-05,1.08609e-05,7.901e-05
0.088,67110,536856,0.125424,0,41481.2,99121,5.65112,0.0882987,8.99114e-05,1.09014e-05,7.901e-05
0.089,67247,537981,0.124275,0,41573.2,98314,5.66296,0.0884837,8.9936e-05,1.0926e-05,7.901e-05
0.09,67330,538636,0.123044,0,41610.2,98553,5.66985,0.0885914,8.9911e-05,1.09009e-05,7.901e-05
0.091,67368,538929,0.121758,0,41846.2,98784,5.67294,0.0886396,8.98814e-05,1.08714e-05,7.901e-05
0.092,66342,530715,0.118599,0,41876.4,99154,5.58647,0.0872887,8.97978e-05,1.07878e-05,7.901e-05
0.093,66893,535133,0.1183,0,41806,98596,5.63298,0.0880153,8.98281e-05,1.08181e-05,7.901e-05
0.094,67564,540533,0.118223,0,42078.9,99448,5.68982,0.0889035,8.99795e-05,1.09695e-05,7.901e-05
0.095,67377,539027,0.116652,0,42296.9,99347,5.67397,0.0886558,8.99826e-05,1.09725e-05,7.901e-05
0.096,66485,531884,0.113907,0,42288.4,98698,5.59878,0.0874809,8.97803e-05,1.07703e-05,7.901e-05
0.097,66881,535033,0.113401,0,42278,99191,5.63193,0.0879988,8.9828e-05,1.08179e-05,7.901e-05
0.098,67448,539552,0.113191,0,42285.7,99367,5.67949,0.0887421,8.99546e-05,1.09445e-05,7.901e-05
0.099,66200,529591,0.10998,0,42485,99349,5.57464,0.0871038,8.9736e-05,1.0726e-05,7.901e-05
0.1,66970,535752,0.110146,0,42685,99028,5.63949,0.0881171,8.99376e-05,1.09275e-05,7.901e-05
